comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
8.01          509                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .012565      NA          .209621           .936843             .936832            .950000              24            23
8.17          508                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .012650      NA          .210378           .906666             .906661            .920000              24            24
7.98          508                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .023262      NA          .194839           1.443621            1.443613           1.470000             24            14
8.18          508                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .017662      NA          .148014           1.236097            1.236094           1.250000             24            12
8.00          508                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .012690      NA          .205160           1.532814            1.532802           1.550000             24            14
8.19          508                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .017837      NA          .199094           2.013623            2.013615           2.030000             24            10
8.24          508                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .010962      NA          .207695           3.102502            3.102490           3.120000             24            7
8.00          509                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .012579      NA          .202398           3.045556            3.045544           3.060000             24            7
8.14          509                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .012562      NA          .200860           3.059590            3.059570           3.070000             24            6
8.21          508                1                  0    1        32        74        1         0         5         10000     10000     0              25000            1           0           0           0               1             .012268      NA          .205339           3.097679            3.097667           3.110000             24            6
8.16          508                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .015226      NA          .130163           3.104503            3.104490           3.120000             24            4
7.99          509                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .012801      NA          .205853           3.052895            3.052890           3.070000             24            7
7.87          508                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .012520      NA          .199994           3.143898            3.143887           3.160000             24            6
8.06          508                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .012392      NA          .205193           3.104052            3.104048           3.120000             29            6
8.07          512                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .010641      NA          .206793           3.111092            3.111079           3.120000             33            7
8.00          510                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .009689      NA          .200453           3.088664            3.088656           3.100000             32            6
8.16          509                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .012679      NA          .205564           3.075118            3.075106           3.090000             25            7
8.20          508                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .013247      NA          .208773           3.068560            3.068556           3.090000             24            7
9.00          508                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .012451      NA          .199988           3.144089            3.144058           3.160000             24            6
8.10          508                1                  0    1        32        74        1         0         5         10000     10000     0              10000            1           0           0           0               1             .012827      NA          .202102           3.276819            3.276814           3.290000             24            6
8.15          508                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .012337      NA          .196782           3.170954            3.170943           3.180000             24            6
8.06          508                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .012553      NA          .202574           3.143268            3.143263           3.160000             28            6
8.17          508                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .012680      NA          .198309           3.176548            3.176543           3.190000             28            6
8.18          508                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .012461      NA          .201775           3.039023            3.039018           3.050000             24            7
8.01          509                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .012602      NA          .200215           1.249032            1.249027           1.260000             24            16
8.02          509                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .010734      NA          .138023           .965049             .965037            .980000              25            15
8.00          509                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .013466      NA          .202258           1.430084            1.430072           1.440000             24            14
8.01          509                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .012258      NA          .195950           1.037239            1.037227           1.050000             24            19
8.10          509                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .012289      NA          .195807           1.001200            1.001195           1.010000             24            20
8.20          508                1                  0    1        32        74        1         0         5         10000     10000     0              1000             1           0           0           0               1             .012681      NA          .196126           1.197980            1.197968           1.210000             24            17
7.99          509                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .012604      NA          .188542           1.411856            1.411851           1.430000             27            14
8.20          509                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .013280      NA          .192677           1.860243            1.860232           1.880000             28            11
8.22          508                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .012893      NA          .200012           2.915739            2.915728           2.930000             28            7
8.00          509                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .012306      NA          .146586           3.178040            3.178029           3.190000             28            5
8.02          508                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .013084      NA          .187589           3.475162            3.475151           3.490000             28            5
7.97          509                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .024448      NA          .121403           3.561472            3.561469           3.580000             28            3
8.20          509                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .013216      NA          .184844           3.522241            3.522229           3.540000             28            5
8.22          509                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .012745      NA          .190460           3.543377            3.543364           3.560000             27            5
8.05          509                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .011916      NA          .186791           3.506048            3.506037           3.520000             28            5
8.03          509                1                  0    1        32        74        1         0         5         10000     10000     0              100              1           0           0           0               1             .013160      NA          .187189           3.541201            3.541196           3.560000             28            5
8.23          508                1                  0    1        32        174       1         0         5         10000     10000     0              25000            1           0           0           0               1             .028131      NA          .225546           .293239             .293227            .320000              25            76
